日期,红盘,绿盘,涨停,跌停,炸板,3连板以上个股数,3连板,2连板,首板,3连板以上个股,3连板个股,2连板个股,备注
2025-07-22,2539,2724,105,3,13,4,2,55,44,上纬新材10;美邦股份4;北化股份4;柳钢股份4,南矿集团;华建集团,永达股份;国机重装;南方路机;大宏立;法兰泰克;恒立钻具;中铁工业;基康技术;江南化工;凯龙股份;苏博特;高争民爆;易普力;雅化集团;同德化工;保利联合;壶化股份;金奥博;辰欣药业;唯万密封;中设股份;中岩大地;筑博设计;中国能建;中化岩土;中国电建;上海港湾;深水规院;铁拓机械;铁建重工;山河智能;厦工股份;五新隧装;西藏城投;西藏旅游;华新水泥;海螺水泥;四方新材;国统股份;上峰水泥;四川金顶;西藏天路;西部建设;韩建河山;三和管桩;天山股份;浙富控股;西子洁能;东方电气;安靠智电;国电南自;博云新材;东信和平;冠龙节能;西宁特钢,
2025-07-23,1270,4027,50,5,56,1,26,0,23,南矿集团4,永达股份;国机重装;恒立钻具;南方路机;法兰泰克;中铁工业;保利联合;易普力;高争民爆;壶化股份;苏博特;中设股份;筑博设计;中岩大地;中国电建;深水规院;铁建重工;山河智能;西藏旅游;西藏天路;韩建河山;华新水泥;浙富控股;东方电气;博云新材;西宁特钢,,
2025-07-24,4390,914,73,0,19,14,0,4,55,南方路机4;恒立钻具4;中铁工业4;保利联合4;苏博特4;高争民爆4;中设股份4;中国电建4;深水规院4;山河智能4;西藏旅游4;西藏天路4;韩建河山4;西宁特钢4,,南京新百;彩虹集团;拓山重工;金春股份,
2025-07-25,2533,2725,46,10,26,3,2,4,37,西藏旅游5;西藏天路5;西宁特钢5,彩虹集团;拓山重工,易明医药;横河精密;汇通集团;大恒科技,
2025-07-28,2780,2438,55,4,20,2,0,3,50,西藏旅游6;拓山重工4,,新农股份;天普股份;直真科技,
2025-07-29,2240,3001,43,2,22,1,0,8,34,西藏旅游7,,南方路机;佛慈制药;辰欣药业;亚太药业;山河智能;幸福蓝海;方邦股份;华瓷股份,
2025-07-30,1712,3559,48,7,19,1,5,6,36,西藏旅游8,南方路机;佛慈制药;辰欣药业;幸福蓝海;华瓷股份,中化装备;王力安防;安正时尚;八一钢铁;西宁特钢;阳光乳业,
2025-07-31,1061,4286,43,5,29,2,3,6,32,西藏旅游9;南方路机4,中化装备;安正时尚;阳光乳业,英维克;奇正藏药;南新制药;德展健康;珠江股份;胜通能源,
2025-08-01,3307,1908,40,7,29,0,2,9,29,,奇正藏药;胜通能源,贵州百灵;环球印务;昂利康;汉商集团;利德曼;文科股份;宏和科技;倍加洁;淳中科技,
2025-08-04,3876,1312,55,4,17,1,3,5,46,胜通能源4,利德曼;文科股份;倍加洁,东杰智能;福元医药;中马传动;日盈电子;万泽股份,
2025-08-05,3902,1327,53,1,18,2,2,6,43,文科股份4;倍加洁4,东杰智能;中马传动,长城军工;诚意药业;山河智能;福日电子;北纬科技;国机精工,
2025-08-06,3356,1817,63,2,18,2,4,8,49,倍加洁5;中马传动4,长城军工;福日电子;北纬科技;国机精工,中欣氟材;新瀚新材;湖南天雁;航天科技;洪通燃气;华光环能;日海智能;马钢股份,
